element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,3,"=""405.989""","=""0.003""","=""405.984""","=""0.003""","=""3""","=""""",,"=""214569.5""","=""239194.033""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""0""","=""3s2.3p3.(2P*).4p""","=""3S""","=""1""",,"=""""","=""L7493""",
Ar,2,"=""""","=""""","=""406.050290""","=""""","=""""","=""3.2e+03""",E,"=""135085.9958""","=""159706.5337""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""",,"=""T997n""","=""""",
Ar,2,"=""406.51114""","=""0.00003""","=""406.511110""","=""0.000007""","=""3""","=""1.1e+06""",C,"=""159393.3850""","=""183986.0137""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""3/2""",,"=""T926""","=""L2634""",
Ar,2,"=""407.07837""","=""0.00008""","=""407.07839""","=""0.00003""","=""10""","=""""",,"=""190507.4128""","=""215065.7716""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""","=""3s2.3p4.(1S).5s""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""407.20043""","=""0.00001""","=""407.200431""","=""0.000005""","=""708""","=""5.8e+07""",B,"=""148842.4674""","=""173393.4658""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""407.23843""","=""0.00001""","=""407.238432""","=""0.000005""","=""178""","=""""",,"=""157673.4134""","=""182222.1209""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""407.66282""","=""0.00002""","=""407.662819""","=""0.000007""","=""85""","=""8.e+07""",D,"=""158428.1087""","=""182951.2609""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""1/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""407.69432""","=""0.00002""","=""407.694294""","=""0.000005""","=""47""","=""9.9e+07""",D,"=""159393.3850""","=""183914.6440""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""407.95734""","=""0.00001""","=""407.957339""","=""0.000005""","=""100""","=""1.19e+07""",B,"=""148842.4674""","=""173347.9158""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""408.06359""","=""0.00001""","=""408.063589""","=""0.000013""","=""85""","=""""",,"=""184093.1337""","=""208592.2016""","=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""408.07022""","=""0.00003""","=""408.070213""","=""0.000018""","=""40""","=""""",,"=""184093.1337""","=""208591.8039""","=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""408.23868""","=""0.00001""","=""408.238680""","=""0.000007""","=""76""","=""2.9e+06""",B+,"=""134241.7389""","=""158730.2995""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""408.3466""","=""0.0008""","=""408.347624""","=""0.000018""","=""1""","=""""",,"=""187589.3383""","=""212071.3657""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<0>).6f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Ar,3,"=""408.88914""","=""0.00018""","=""408.88911""","=""0.00017""","=""7""","=""""",,"=""219908.474""","=""244358.081""","=""3s2.3p3.(2D*).3d""","=""1P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""1D""","=""2""",,"=""""","=""L11520""",
Ar,2,"=""409.71351""","=""0.00003""","=""409.713543""","=""0.000014""","=""28""","=""""",,"=""184191.7917""","=""208592.2016""","=""3s2.3p4.(3P).4d""","=""4D""","=""1/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""409.72033""","=""0.00008""","=""409.720221""","=""0.000020""","=""12""","=""""",,"=""184191.7917""","=""208591.8039""","=""3s2.3p4.(3P).4d""","=""4D""","=""1/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L11520""",
Ar,3,"=""409.819""","=""0.003""","=""409.81514""","=""0.00008""","=""4""","=""""",,"=""207233.003""","=""231627.364""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""3s2.3p3.(2D*).4p""","=""3P""","=""1""",,"=""""","=""L7493""",
Ar,2,"=""409.94554""","=""0.00008""","=""409.945565""","=""0.000009""","=""11""","=""""",,"=""159706.5337""","=""184093.1337""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""410.38323""","=""0.00001""","=""410.383222""","=""0.000004""","=""158""","=""1.3e+08""",D,"=""158730.2995""","=""183090.8927""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""410.39118""","=""0.00001""","=""410.391181""","=""0.000007""","=""447""","=""1.2e+08""",D,"=""157234.0196""","=""181594.1404""","=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""411.28151""","=""0.00003""","=""411.281487""","=""0.000004""","=""513bl""","=""1.1e+06""",B,"=""135085.9958""","=""159393.3850""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""411.4487""","=""0.0008""","=""411.448850""","=""0.000020""","=""2""","=""""",,"=""172335.5985""","=""196633.1005""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""411.63756""","=""0.00012""","=""411.637493""","=""0.000017""","=""8""","=""""",,"=""172335.5985""","=""196621.9658""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""412.4058""","=""0.0008""","=""412.406120""","=""0.000014""","=""1""","=""""",,"=""155351.1206""","=""179592.2248""","=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""412.719""","=""0.003""","=""412.7228""","=""0.0007""","=""4""","=""""",,"=""207532.33""","=""231754.836""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","=""3s2.3p3.(2D*).4p""","=""3P""","=""0""",,"=""""","=""L7493""",
